numero,tipo,subtipo,andar,id_vaga_relacionada,pref_torre
198,dupla,coberta,-2,199,B
199,dupla,coberta,-2,198,B
200,simples,coberta,-2,,B
201,simples,coberta,-2,,B
202,simples,coberta,-2,,B
203,simples,coberta,-2,,B
204,simples,coberta,-2,,B
205,simples,coberta,-2,,B
206,simples,coberta,-2,,B
207,simples,coberta,-2,,B
208,dupla,coberta,-2,209,B
209,dupla,coberta,-2,208,B
210,dupla,coberta,-2,211,B
211,dupla,coberta,-2,210,B
212,dupla,coberta,-2,213,B
213,dupla,coberta,-2,212,B
214,dupla,coberta,-2,215,B
215,dupla,coberta,-2,214,B
216,simples,coberta,-2,,B
217,simples,coberta,-2,,B
218,simples,coberta,-2,,B
219,simples,coberta,-2,,B
220,simples,coberta,-2,,B
221,simples,coberta,-2,,B
222,simples,coberta,-2,,B
223,simples,coberta,-2,,B
224,simples,coberta,-2,,B
225,simples,coberta,-2,,B
226,simples,coberta,-2,,B
227,dupla,coberta,-1,228,B
228,dupla,coberta,-1,227,B
229,dupla,coberta,-1,230,B
230,dupla,coberta,-1,229,B
231,dupla,coberta,-1,232,B
232,dupla,coberta,-1,231,B
233,dupla,coberta,-1,234,B
234,dupla,coberta,-1,233,B
235,dupla,coberta,-1,236,B
236,dupla,coberta,-1,235,B
237,dupla,coberta,-1,238,B
238,dupla,coberta,-1,237,B
239,dupla,coberta,-1,240,B
240,dupla,coberta,-1,239,B
241,simples,coberta,-1,,B
242,simples,coberta,-1,,B
243,simples,coberta,-1,,B
244,dupla,coberta,-1,245,B
245,dupla,coberta,-1,244,B
246,simples,coberta,-1,,
247,simples,coberta,-1,,
248,dupla,coberta,-1,249,
249,dupla,coberta,-1,248,
250,dupla,coberta,-1,251,
251,dupla,coberta,-1,250,
252,dupla,coberta,-1,253,
253,dupla,coberta,-1,252,
254,dupla,coberta,-2,139,A
255,dupla,descoberta,-1,,
256,dupla,descoberta,-1,257,
257,dupla,descoberta,-1,256,
258,simples,descoberta,-1,,
259,simples,descoberta,-1,,
260,simples,descoberta,-1,,
261,simples,descoberta,-1,,
262,dupla,descoberta,-1,263,
263,dupla,descoberta,-1,262,
264,dupla,descoberta,-1,265,
265,dupla,descoberta,-1,264,
266,dupla,descoberta,-1,267,
267,dupla,descoberta,-1,266,
268,dupla,descoberta,-1,269,
269,dupla,descoberta,-1,268,
270,dupla,descoberta,-1,271,
271,dupla,descoberta,-1,270,
272,dupla,descoberta,-1,273,
273,dupla,descoberta,-1,272,
274,dupla,descoberta,-1,275,
275,dupla,descoberta,-1,274,
276,dupla,descoberta,-1,277,
277,dupla,descoberta,-1,276,
278,dupla,coberta,-1,279,A
279,dupla,coberta,-1,278,A
280,dupla,coberta,-1,281,A
281,dupla,coberta,-1,280,A
282,dupla,coberta,-1,283,A
283,dupla,coberta,-1,282,A
284,dupla,coberta,-1,285,A
285,dupla,coberta,-1,284,A
286,dupla,coberta,-1,287,A
287,dupla,coberta,-1,286,A
288,dupla,coberta,-1,289,A
289,dupla,coberta,-1,288,A
290,dupla,coberta,-1,291,A
291,dupla,coberta,-1,290,A
292,simples,coberta,-1,,A
293,simples,coberta,-1,,A
294,simples,coberta,-1,,A
295,simples,coberta,-1,,A
296,simples,coberta,-1,,A
297,simples,coberta,-1,,A
298,simples,coberta,-1,,A
299,simples,coberta,-1,,
300,simples,coberta,-1,,
301,simples,coberta,-1,,
302,simples,coberta,-1,,
303,simples,coberta,-1,,
304,simples,coberta,-1,,
305,simples,coberta,-1,,B
306,simples,coberta,-1,,B
307,simples,coberta,-1,,B
308,simples,coberta,-1,,B
309,simples,coberta,-1,,B
310,dupla,coberta,-1,311,B
311,dupla,coberta,-1,310,B
312,dupla,coberta,-1,313,B
313,dupla,coberta,-1,312,B
314,dupla,coberta,-1,315,B
315,dupla,coberta,-1,314,B
316,dupla,coberta,-1,317,B
317,dupla,coberta,-1,316,B
318,simples,coberta,-1,,B
319,simples,coberta,-1,,B
320,simples,coberta,-1,,B
321,simples,coberta,-1,,B
322,dupla,coberta,-1,323,B
323,dupla,coberta,-1,322,B
324,simples,coberta,-1,,B
325,simples,coberta,-1,,B
326,simples,coberta,-1,,B
327,simples,coberta,-1,,B
328,simples,coberta,-1,,B
329,simples,coberta,-1,,B
330,simples,coberta,-1,,B
331,dupla,coberta,-1,332,B
332,dupla,coberta,-1,331,B
333,dupla,coberta,-1,334,B
334,dupla,coberta,-1,333,B
335,simples,coberta,-1,,
336,simples,coberta,-1,,
337,simples,coberta,-1,,B
338,simples,coberta,-1,,B
339,simples,coberta,-1,,B
340,simples,coberta,-1,,B
341,simples,coberta,-1,,B
342,simples,coberta,-1,,B
343,simples,coberta,-1,,B
344,simples,coberta,-1,,B
345,simples,coberta,-1,,B
346,simples,coberta,-1,,B
347,simples,coberta,-1,,B
